"Antwort ID";"Datum Abgeschickt";"Letzte Seite";"Start-Sprache";"Zufallsgeneratorstartwert";"Datum gestartet";"Datum letzte Aktivität";"Wie alt sind Sie? []";"Sind Sie wahlberechtigt? []";"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen? []";"Sagt ihnen das  Schengenabkommen etwas?     []";"Sind Sie mit dem Schengenabkommen einverstanden? []";"Wenn Sie könnten, würden Sie es nur verändern oder komplett abschaffen? []"
"134";"2025-02-08 14:28:26";"1";"de";"1447244077";"2025-02-08 14:28:24";"2025-02-08 14:28:26";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"135";"2025-02-08 14:46:04";"1";"de";"1868258044";"2025-02-08 14:46:02";"2025-02-08 14:46:04";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"136";"2025-02-08 14:46:20";"1";"de";"187693726";"2025-02-08 14:46:18";"2025-02-08 14:46:20";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"137";"2025-02-08 14:46:57";"1";"de";"920487177";"2025-02-08 14:46:55";"2025-02-08 14:46:57";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"138";"2025-02-08 14:47:45";"1";"de";"680415463";"2025-02-08 14:47:43";"2025-02-08 14:47:45";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"139";"2025-02-08 14:51:39";"1";"de";"1943047333";"2025-02-08 14:51:37";"2025-02-08 14:51:39";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"140";"";"0";"de";"1185442866";"2025-02-08 14:56:26";"2025-02-08 14:56:26";"";"";"";"";"";""
"141";"";"0";"de";"1561409218";"2025-02-08 14:58:24";"2025-02-08 14:58:24";"";"";"";"";"";""
"142";"2025-02-08 14:59:17";"1";"de";"2130856693";"2025-02-08 14:59:15";"2025-02-08 14:59:17";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"143";"2025-02-08 15:00:11";"1";"de";"1612111346";"2025-02-08 15:00:09";"2025-02-08 15:00:11";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"144";"2025-02-08 15:01:33";"1";"de";"411118435";"2025-02-08 15:01:31";"2025-02-08 15:01:33";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"145";"2025-02-08 15:01:41";"1";"de";"1984117477";"2025-02-08 15:01:39";"2025-02-08 15:01:41";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"146";"2025-02-08 15:03:32";"1";"de";"655806817";"2025-02-08 15:03:31";"2025-02-08 15:03:32";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"147";"2025-02-08 15:03:40";"1";"de";"556824967";"2025-02-08 15:03:38";"2025-02-08 15:03:40";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"148";"2025-02-08 15:07:00";"1";"de";"1013509623";"2025-02-08 15:06:58";"2025-02-08 15:07:00";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"149";"2025-02-08 15:07:08";"1";"de";"1396456888";"2025-02-08 15:07:06";"2025-02-08 15:07:08";"60+";"Nein";"Andere";"Ja";"Nein";"Komplett abschaffen"
"150";"2025-02-08 15:23:50";"1";"de";"1369179390";"2025-02-08 15:23:08";"2025-02-08 15:23:50";"50-60";"Ja";"CDU/CSU";"Ja";"Ja";""
"151";"2025-02-08 16:10:06";"1";"de";"1724661399";"2025-02-08 16:09:45";"2025-02-08 16:10:06";"18-25";"Ja";"CDU/CSU";"Ja";"Nein";"Nur verändern"
"152";"2025-02-09 13:17:19";"1";"de";"1145892003";"2025-02-09 13:17:07";"2025-02-09 13:17:19";"36-50";"Ja";"Die Grünen";"Ja";"Ja";""
"153";"2025-02-09 13:17:22";"1";"de";"858305715";"2025-02-09 13:17:08";"2025-02-09 13:17:22";"36-50";"Ja";"Die Grünen";"Ja";"Ja";""
"154";"2025-02-09 14:43:33";"1";"de";"2071096477";"2025-02-09 14:43:07";"2025-02-09 14:43:33";"50-60";"Ja";"Die Grünen";"Ja";"Ja";""
"155";"2025-02-09 18:00:41";"1";"de";"367614634";"2025-02-09 18:00:22";"2025-02-09 18:00:41";"36-50";"Ja";"SPD";"Ja";"Ja";""
"156";"2025-02-10 01:27:35";"1";"de";"1924070262";"2025-02-10 01:26:41";"2025-02-10 01:27:35";"60+";"Ja";"SPD";"Ja";"Ja";""
"157";"2025-02-10 07:13:32";"1";"de";"779933919";"2025-02-10 07:13:13";"2025-02-10 07:13:32";"36-50";"Ja";"Die Grünen";"Ja";"Ja";""

